id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,152.78963337,-27.40133772,1,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
1,152.80609183,-27.39183543,2,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
1,152.82255029,-27.40133772,3,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
1,152.82255029,-27.42034231,4,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
1,152.80609183,-27.42984461,5,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
1,152.78963337,-27.42034231,6,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
1,152.78963337,-27.40133772,7,FALSE,1,1.1,152.806091832473_-27.410840016707,152.80609183247321,-27.410840016707038,152.87052898_-27.43346102,304041099,31099,Enoggera Reservoir,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,37.694,152.87052898,-27.43346102,19,21,6847.098152141689
10,152.87192567,-27.54387215,8,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
10,152.88838412,-27.53436986,9,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
10,152.90484258,-27.54387215,10,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
10,152.90484258,-27.56287674,11,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
10,152.88838412,-27.57237904,12,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
10,152.87192567,-27.56287674,13,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
10,152.87192567,-27.54387215,14,FALSE,1,10.1,152.888384124603_-27.5533744477465,152.88838412460262,-27.553374447746535,152.9094124_-27.56187019,304011083,31083,Riverhills,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,2.1789,152.9094124,-27.56187019,3,2,5210.602799048284
11,152.88838412,-27.40133772,15,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
11,152.90484258,-27.39183543,16,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
11,152.92130104,-27.40133772,17,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
11,152.92130104,-27.42034231,18,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
11,152.90484258,-27.42984461,19,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
11,152.88838412,-27.42034231,20,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
11,152.88838412,-27.40133772,21,FALSE,1,11.1,152.904842583029_-27.410840016707,152.90484258302854,-27.410840016707038,152.92057643_-27.41434729,304041104,31104,Upper Kedron - Ferny Grove,30404,The Gap - Enoggera,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,13.2023,152.92057643,-27.41434729,24,22,2716.4670844072125
12,152.88838412,-27.45835149,22,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
12,152.90484258,-27.4488492,23,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
12,152.92130104,-27.45835149,24,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
12,152.92130104,-27.47735608,25,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
12,152.90484258,-27.48685838,26,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
12,152.88838412,-27.47735608,27,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
12,152.88838412,-27.45835149,28,FALSE,1,12.1,152.904842583029_-27.4678537891228,152.90484258302854,-27.467853789122827,152.97881075_-27.51777539,304031092,31092,Chelmer - Graceville,30403,Sherwood - Indooroopilly,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,3.2389,152.97881075,-27.51777539,12,15,3732.7091581785385
13,152.88838412,-27.51536527,29,FALSE,1,13.1,152.904842583029_-27.5248675615386,152.90484258302854,-27.524867561538635,152.93501706_-27.54003476,304011081,31081,Jindalee - Mount Ommaney,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,4.8007,152.93501706,-27.54003476,1,6,2441.722590406856
13,152.90484258,-27.50586297,30,FALSE,1,13.1,152.904842583029_-27.5248675615386,152.90484258302854,-27.524867561538635,152.93501706_-27.54003476,304011081,31081,Jindalee - Mount Ommaney,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,4.8007,152.93501706,-27.54003476,1,6,2441.722590406856
13,152.92130104,-27.51536527,31,FALSE,1,13.1,152.904842583029_-27.5248675615386,152.90484258302854,-27.524867561538635,152.93501706_-27.54003476,304011081,31081,Jindalee - Mount Ommaney,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,4.8007,152.93501706,-27.54003476,1,6,2441.722590406856
13,152.92130104,-27.53436986,32,FALSE,1,13.1,152.904842583029_-27.5248675615386,152.90484258302854,-27.524867561538635,152.93501706_-27.54003476,304011081,31081,Jindalee - Mount Ommaney,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,4.8007,152.93501706,-27.54003476,1,6,2441.722590406856
13,152.90484258,-27.54387215,33,FALSE,1,13.1,152.904842583029_-27.5248675615386,152.90484258302854,-27.524867561538635,152.93501706_-27.54003476,304011081,31081,Jindalee - Mount Ommaney,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,4.8007,152.93501706,-27.54003476,1,6,2441.722590406856
13,152.88838412,-27.53436986,34,FALSE,1,13.1,152.904842583029_-27.5248675615386,152.90484258302854,-27.524867561538635,152.93501706_-27.54003476,304011081,31081,Jindalee - Mount Ommaney,30401,Centenary,304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,4.8007,152.93501706,-27.54003476,1,6,2441.722590406856
